timestamp,container_name,cpu_percent,mem_percent,mem_rss_bytes,mem_cache_bytes,net_rx_bytes,net_tx_bytes,net_rx_packets,net_tx_packets,blk_read_bytes,blk_write_bytes,pids_count,process_count,connections_established,connections_listen,connections_time_wait,connections_close_wait,label
2026-05-05T06:11:43.460812,traffic_gen,0.0,0.3329,0,0,14474607,371121,10069,5180,0,0,1,0,0,0,0,0,0
2026-05-05T06:11:43.460812,api,0.0016,0.134,0,0,15079,8899,119,68,0,0,1,0,0,0,0,0,0
2026-05-05T06:11:43.460812,dns,0.0008,0.0438,0,0,9803,126,84,3,0,0,1,0,0,0,0,0,0
2026-05-05T06:11:43.460812,fileshare,0.0,0.0014,0,0,9845,126,85,3,0,0,1,0,0,0,0,0,0
2026-05-05T06:11:43.460812,webserver,0.0016,0.044,0,0,9761,126,83,3,0,0,1,0,0,0,0,0,0
2026-05-05T06:11:43.460812,jumpbox,0.0,0.2625,0,0,25227711,569137,17211,8449,0,0,1,0,0,0,0,0,0
2026-05-05T06:11:43.460812,redis,0.008,0.0092,0,0,9635,126,80,3,0,0,5,0,0,0,0,0,0
2026-05-05T06:11:43.460812,postgres,0.0337,0.1922,0,0,10425,1149,89,12,0,0,7,0,0,0,0,0,0
2026-05-05T06:11:43.460812,victim,0.0005,0.0448,0,0,9719,126,82,3,0,0,1,0,0,0,0,0,0
2026-05-05T06:11:43.460812,db,0.0039,1.2429,0,0,18344,5849,143,47,0,0,28,0,0,0,0,0,0
2026-05-05T06:11:48.655470,api,0.0011,0.1325,0,0,15079,8899,119,68,0,0,1,0,0,0,0,0,0
2026-05-05T06:11:48.655470,fileshare,0.0,0.0014,0,0,9887,126,86,3,0,0,1,0,0,0,0,0,0
2026-05-05T06:11:48.655470,db,0.02,1.2441,0,0,20037,8241,159,59,0,0,28,0,0,0,0,0,0
2026-05-05T06:11:48.655470,dns,0.0007,0.0438,0,0,9845,126,85,3,0,0,1,0,0,0,0,0,0
2026-05-05T06:11:48.655470,webserver,0.0006,0.044,0,0,9803,126,84,3,0,0,1,0,0,0,0,0,0
2026-05-05T06:11:48.655470,jumpbox,0.0,0.2624,0,0,25227753,569137,17212,8449,0,0,1,0,0,0,0,0,0
2026-05-05T06:11:48.655470,traffic_gen,0.0501,0.3367,0,0,14508924,376141,10110,5232,0,0,1,0,0,0,0,0,0
2026-05-05T06:11:48.655470,postgres,0.003,0.1918,0,0,10509,1191,91,13,0,0,7,0,0,0,0,0,0
2026-05-05T06:11:48.655470,redis,0.0077,0.009,0,0,9677,126,81,3,0,0,5,0,0,0,0,0,0
2026-05-05T06:11:48.655470,victim,0.0004,0.0454,0,0,9761,126,83,3,0,0,1,0,0,0,0,0,0
2026-05-05T06:11:53.855192,dns,0.001,0.0438,0,0,9915,126,86,3,0,0,1,0,0,0,0,0,0
2026-05-05T06:11:53.855192,api,0.1734,0.1378,0,0,21665,43438,172,113,0,0,1,0,0,0,0,0,0
2026-05-05T06:11:53.855192,postgres,0.0022,0.1914,0,0,10509,1191,91,13,0,0,7,0,0,0,0,0,0
2026-05-05T06:11:53.855192,fileshare,0.0,0.0014,0,0,9887,126,86,3,0,0,1,0,0,0,0,0,0
2026-05-05T06:11:53.855192,victim,0.0006,0.0444,0,0,9761,126,83,3,0,0,1,0,0,0,0,0,0
2026-05-05T06:11:53.855192,jumpbox,0.0,0.2631,0,0,25227823,569137,17213,8449,0,0,1,0,0,0,0,0,0
2026-05-05T06:11:53.855192,redis,0.0075,0.0098,0,0,9677,126,81,3,0,0,5,0,0,0,0,0,0
2026-05-05T06:11:53.855192,traffic_gen,0.029,0.335,0,0,14508966,376183,10111,5233,0,0,1,0,0,0,0,0,0
2026-05-05T06:11:53.855192,webserver,0.0015,0.044,0,0,9803,126,84,3,0,0,1,0,0,0,0,0,0
2026-05-05T06:11:53.855192,db,0.0057,1.2433,0,0,20037,8241,159,59,0,0,28,0,0,0,0,0,0
