timestamp,container_name,cpu_percent,mem_percent,mem_rss_bytes,mem_cache_bytes,net_rx_bytes,net_tx_bytes,net_rx_packets,net_tx_packets,blk_read_bytes,blk_write_bytes,pids_count,process_count,connections_established,connections_listen,connections_time_wait,connections_close_wait,label
2026-05-05T11:33:38.397999,traffic_gen,0.0,0.3349,0,0,14007095,120553,2146,1173,0,0,1,0,0,0,0,0,1
2026-05-05T11:33:38.397999,fileshare,0.0,0.0014,0,0,34712,996,661,20,0,0,1,0,0,0,0,0,1
2026-05-05T11:33:38.397999,dns,0.0032,0.0438,0,0,36113,264,671,6,0,0,1,0,0,0,0,0,1
2026-05-05T11:33:38.397999,redis,0.0504,0.0098,0,0,43984,5915,774,77,0,0,5,0,0,0,0,0,1
2026-05-05T11:33:38.397999,jumpbox,0.0,0.2633,0,0,24282659,86894,2964,940,0,0,1,0,0,0,0,0,1
2026-05-05T11:33:38.397999,postgres,0.0015,0.1916,0,0,40276,3923,732,50,0,0,7,0,0,0,0,0,1
2026-05-05T11:33:38.397999,api,6.4466,0.2664,0,0,34136,83418,414,918,0,0,234,0,0,0,0,0,1
2026-05-05T11:33:38.397999,webserver,0.0021,0.044,0,0,37241,1076,691,20,0,0,1,0,0,0,0,0,1
2026-05-05T11:33:38.397999,db,0.0274,1.2129,0,0,42330,7737,758,99,0,0,30,0,0,0,0,0,1
2026-05-05T11:33:38.397999,victim,0.0034,0.0442,0,0,39358,1702,719,31,0,0,1,0,0,0,0,0,1
2026-05-05T11:33:47.680063,api,14.5714,0.262,0,0,57780,116047,578,1301,0,0,33,0,0,0,0,0,1
2026-05-05T11:33:47.680063,dns,2.7499,0.0444,0,0,47808,2916,911,46,0,0,2,0,0,0,0,0,1
2026-05-05T11:33:47.680063,webserver,1.0195,0.0441,0,0,48144,4582,915,53,0,0,2,0,0,0,0,0,1
2026-05-05T11:33:47.680063,redis,0.0603,0.0087,0,0,53890,7777,988,91,0,0,5,0,0,0,0,0,1
2026-05-05T11:33:47.680063,db,4.0367,1.2161,0,0,61253,16341,998,140,0,0,31,0,0,0,0,0,1
2026-05-05T11:33:47.680063,victim,0.005,0.0452,0,0,49918,7124,935,55,0,0,1,0,0,0,0,0,1
2026-05-05T11:33:47.680063,traffic_gen,1.0471,0.3372,0,0,14028801,125339,2457,1227,0,0,1,0,0,0,0,0,1
2026-05-05T11:33:47.680063,postgres,0.002,0.1916,0,0,48602,4183,927,54,0,0,7,0,0,0,0,0,1
2026-05-05T11:33:47.680063,fileshare,0.0,0.0014,0,0,44126,1644,876,32,0,0,1,0,0,0,0,0,1
2026-05-05T11:33:47.680063,jumpbox,0.0,0.285,0,0,24298891,94498,3187,965,0,0,5,0,0,0,0,0,1
2026-05-05T11:33:57.300867,traffic_gen,0.0,0.3349,0,0,14030180,126153,2482,1237,0,0,1,0,0,0,0,0,1
2026-05-05T11:33:57.300867,api,9.6795,0.2714,0,0,110675,169854,834,1587,0,0,219,0,0,0,0,0,1
2026-05-05T11:33:57.300867,redis,0.0586,0.0095,0,0,56930,8400,1051,98,0,0,5,0,0,0,0,0,1
2026-05-05T11:33:57.300867,fileshare,0.0,0.0014,0,0,46562,1644,934,32,0,0,1,0,0,0,0,0,1
2026-05-05T11:33:57.300867,dns,0.0026,0.0439,0,0,50118,2916,966,46,0,0,2,0,0,0,0,0,1
2026-05-05T11:33:57.300867,postgres,0.2615,0.1916,0,0,51882,4929,995,67,0,0,7,0,0,0,0,0,1
2026-05-05T11:33:57.300867,jumpbox,8.0522,0.2862,0,0,24320719,114475,3335,1057,0,0,4,0,0,0,0,0,1
2026-05-05T11:33:57.300867,db,0.0223,1.2138,0,0,76817,37801,1107,204,0,0,31,0,0,0,0,0,1
2026-05-05T11:33:57.300867,victim,0.0048,0.0444,0,0,52270,7124,991,55,0,0,1,0,0,0,0,0,1
2026-05-05T11:33:57.300867,webserver,0.0229,0.0441,0,0,51466,5262,984,65,0,0,2,0,0,0,0,0,1
2026-05-05T11:34:06.950811,db,0.0203,1.2138,0,0,92063,37801,1470,204,0,0,31,0,0,0,0,0,1
2026-05-05T11:34:06.950811,dns,0.0037,0.0439,0,0,67758,2916,1386,46,0,0,2,0,0,0,0,0,1
2026-05-05T11:34:06.950811,redis,0.051,0.0103,0,0,77078,10000,1509,126,0,0,5,0,0,0,0,0,1
2026-05-05T11:34:06.950811,postgres,0.2199,0.1918,0,0,70850,5825,1435,83,0,0,7,0,0,0,0,0,1
2026-05-05T11:34:06.950811,webserver,0.0044,0.0441,0,0,69138,5316,1404,66,0,0,2,0,0,0,0,0,1
2026-05-05T11:34:06.950811,fileshare,0.0,0.0014,0,0,65132,2334,1367,45,0,0,1,0,0,0,0,0,1
